ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
110,1680179797551347612,1.602,-0.491,2.095,1.506,-0.605,0.312,1.831,-0.417,0.344
110,1680179797551347612,2.107,0.294,2.698,2.1,0.181,0.331,2.223,0.439,0.313
111,1680179797656785127,1.608,-0.493,2.11,1.523,-0.605,0.306,1.832,-0.422,0.335
111,1680179797656785127,2.1,0.292,2.443,2.081,0.202,0.336,2.277,0.436,0.334
112,1680179797724140980,1.651,-0.48,2.076,1.529,-0.601,0.297,1.853,-0.422,0.327
112,1680179797724140980,2.072,0.294,2.776,2.072,0.216,0.334,2.142,0.381,0.32
113,1680179797824972308,1.7,-0.472,2.139,1.55,-0.603,0.303,1.855,-0.407,0.32
113,1680179797824972308,2.053,0.285,2.478,2.01,0.219,0.322,2.111,0.349,0.329
114,1680179797953134932,1.711,-0.488,2.189,1.611,-0.617,0.313,1.907,-0.406,0.324
114,1680179797953134932,2.033,0.287,2.443,1.974,0.22,0.318,2.054,0.317,0.325
115,1680179798051937566,1.733,-0.494,2.244,1.646,-0.602,0.312,1.912,-0.39,0.311
115,1680179798051937566,2.005,0.273,2.846,1.949,0.206,0.316,1.981,0.302,0.319
116,1680179798152539372,1.814,-0.459,2.132,1.687,-0.583,0.307,1.985,-0.395,0.31
116,1680179798152539372,2.0,0.262,2.227,1.953,0.178,0.324,2.18,0.35,0.352
117,1680179798252928277,1.967,0.253,2.282,1.933,0.152,0.322,2.184,0.368,0.347
117,1680179798252928277,1.875,-0.444,2.032,1.759,-0.568,0.304,2.1,-0.396,0.319
118,1680179798353604549,1.965,0.237,2.454,1.951,0.124,0.313,2.169,0.386,0.327
118,1680179798353604549,1.905,-0.448,1.974,1.805,-0.556,0.316,2.176,-0.402,0.337
119,1680179798424977288,2.002,0.241,2.587,1.969,0.108,0.309,2.144,0.39,0.321
119,1680179798424977288,1.925,-0.436,2.098,1.835,-0.534,0.332,2.088,-0.385,0.322
120,1680179798524557246,2.023,0.249,2.716,1.991,0.101,0.312,2.124,0.396,0.32
120,1680179798524557246,1.939,-0.439,2.006,1.851,-0.524,0.336,2.127,-0.396,0.326
121,1680179798629444016,2.058,0.251,2.975,2.058,0.103,0.319,2.109,0.406,0.319
121,1680179798629444016,1.959,-0.441,1.96,1.871,-0.519,0.331,2.132,-0.41,0.325
122,1680179798751044424,2.076,0.255,2.994,2.058,0.107,0.318,2.105,0.423,0.323
122,1680179798751044424,1.993,-0.444,2.021,1.886,-0.532,0.333,2.177,-0.392,0.319
123,1680179798856376965,2.088,0.264,-3.12,2.116,0.118,0.321,2.106,0.445,0.315
123,1680179798856376965,2.004,-0.46,2.059,1.892,-0.56,0.322,2.253,-0.369,0.332
124,1680179798928022414,2.1,0.274,-2.735,2.242,0.138,0.344,2.102,0.461,0.313
124,1680179798928022414,2.006,-0.462,2.211,1.921,-0.592,0.318,2.239,-0.353,0.333
